Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
d6400c5ef56e0afa2c6496c33103b44a44a51fbb0f84f0be874086ebad0e4b7a,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.065654,51.473154,On or near Clayton Road,E01004067,Southwark 022E,Drugs,Status update unavailable
659e7ecec2b09e89d99cc9e345822e206f75496f20a59b7a00007fe968fcf3f4,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.072583,51.473421,On or near Basing Court,E01004067,Southwark 022E,Drugs,Court result unavailable
079c8608c39383eb845f930bfaa8851970c2aeed52611ee71f5874663666598a,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.074293,51.47112,On or near Lyndhurst Way,E01004067,Southwark 022E,Drugs,Offender sent to prison
0bca276f9feb8a7205d086864eecb9a9db52f95aaefbee7c876fe8e439714633,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.068112,51.471558,On or near Cerise Road,E01004067,Southwark 022E,Drugs,Offender given penalty notice
84bf5fec01510d2b8db977956bf0b4911b3556d07b731c58d2af769a6530ba6f,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.061127,51.475318,On or near Carlton Grove,E01032805,Southwark 022F,Drugs,Status update unavailable
eda1cc446fbc4ee3d19933e448590972618c260d16befdf6714c0a2318308d97,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.061127,51.475318,On or near Carlton Grove,E01032805,Southwark 022F,Drugs,Offender given penalty notice
1b1ad59154cda147d39759686b93e7087013d5f4fd4b51c6a983659178839c80,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.061127,51.475318,On or near Carlton Grove,E01032805,Southwark 022F,Drugs,Offender given penalty notice
4dff3be5616be596e65bf577d6624a5d8f94f59aae3c642de70908149ab5105c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.05342,51.477088,On or near Montague Square,E01004003,Southwark 023B,Drugs,Offender given a drugs possession warning
f2f165f9619460479dd641d41f2348dc87906a7d7fcbd9827011af7776f5ed11,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.064085,51.472121,On or near Consort Road,E01004005,Southwark 023D,Drugs,Court result unavailable
bd2cb927763a4cddfc469e81c0545af0b594ba460bdf571784e22ad1cbbb2f33,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.089979,51.474083,On or near Kimpton Road,E01003913,Southwark 024A,Drugs,Investigation complete; no suspect identified
5fd96fabd72b5d2ba349ddd372170d61529a07872a69fdd22d507fa9b0b8fcd8,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.082304,51.473751,On or near Peckham Road,E01003914,Southwark 024B,Drugs,Offender given a drugs possession warning
6c7ae865e4edaed0d34a7ea6c9085c4002efdb305947ae654f839bf1940f0eeb,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.068988,51.47025,On or near Supermarket,E01004061,Southwark 025A,Drugs,Status update unavailable
2ce860c471e8fe460c05c047abd3dea62bfdc3dd55e9963f770212875e8a1b86,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.068988,51.47025,On or near Supermarket,E01004061,Southwark 025A,Drugs,Offender given a caution
16e696ef03b827953642cc5de60e823d19462360621d44d1e6fa3bec0166a01c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.068988,51.47025,On or near Supermarket,E01004061,Southwark 025A,Drugs,Offender given a drugs possession warning
13efa3f51d89be87f52e4b3cfa27e8545c8f8471c6e80735281fa64f187ef252,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.072845,51.469594,On or near Bellenden Road,E01004061,Southwark 025A,Drugs,Offender given a drugs possession warning
6d904c26e556681220160b02c38f1034930ea4853b90077e0faf5ea934e2c66c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.066524,51.469274,On or near Bournemouth Road,E01004062,Southwark 025B,Drugs,Local resolution
938b5ce6ba963bf73f9863759e43996be4bf3ab6bee7e6b24355e5f38f72d352,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.066863,51.46839,On or near Bournemouth Close,E01004062,Southwark 025B,Drugs,Offender given a drugs possession warning
07b4f9435eb6eaa7983cd2623c1158f1a859078b9fd8f3126d273f6a07e60902,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.072431,51.467474,On or near Choumert Road,E01004063,Southwark 025C,Drugs,Offender given community sentence
1cf42896da31537e028bf6c4a501db533c7fbaaaff546a94803a254f283e2f49,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.069211,51.468716,On or near Parking Area,E01004063,Southwark 025C,Drugs,Offender given conditional discharge
ca270beedb02c96949de0192b2a15ffbb7c698c5cd04dcc79302c899ce3531d7,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.076593,51.474278,On or near Peckham Road,E01004066,Southwark 025E,Drugs,Offender given a caution
a9c744e05930a35b265441785cc753c8b0d85291137041c73ceb774c9b46e566,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.075772,51.473608,On or near Grummant Road,E01004066,Southwark 025E,Drugs,Offender given a drugs possession warning
633379781c2346dcac1a4b21addfb7639032de7fed3c7d178041f2568cfe97ec,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.05301,51.471155,On or near Belfort Road,E01004000,Southwark 026A,Drugs,Offender sent to prison
33ee0ae1527b3c5380e09d39762c964644ea9b6fb40b34683c756286412c1288,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.05823,51.465217,On or near Cheam Street,E01004001,Southwark 026B,Drugs,Offender given a drugs possession warning
572d5b1f83ee68eca4e8ddf109b93883579e1723200c03a4f287bfac9429c17e,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.057798,51.465551,On or near Brock Street,E01004001,Southwark 026B,Drugs,Offender fined
b119eb26931e616ce9c579c53be8d5f6ae51c2ddd055f88a67a3f18d2a5bb35c,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.062502,51.46258,On or near Banfield Road,E01004019,Southwark 026C,Drugs,Offender given a drugs possession warning
2c798de18c27bdcf287acf77a997caa555966a071964c7d3a05c7ff70f1b6e9b,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.06435,51.463465,On or near Nunhead Crescent,E01004064,Southwark 026D,Drugs,Offender given a drugs possession warning
56bb15b90ce7011de89e8cf2cf8bda0e09bfe5a99ec4747e04ded5b302bc11cd,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.062721,51.465237,On or near Galatea Square,E01004064,Southwark 026D,Drugs,Offender fined
fee62dcd26f2521a020984fc81be7a589c25904efb0228b24ea3fb193f9b3520,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.065459,51.467557,On or near Parking Area,E01004068,Southwark 026E,Drugs,Offender given a drugs possession warning
37d19a80a4adc9522ef2490bbf7781ae5a792c0193b39ffd3ce99e9d2f5be96f,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.087024,51.462453,On or near Monclar Road,E01004049,Southwark 027D,Drugs,Offender given a drugs possession warning
caccb38c9fd8752ade8a42668953af9bc8c3e3872388f1e85c572bbff22e2978,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.066826,51.458039,On or near Barry Road,E01004015,Southwark 028C,Drugs,Offender given a caution
